pod_id,pod_type,slot_id,slot_type,item,unusedColumn1,unusedColumn2,unusedColumn3,qty,max_qty,due_date,facing,pick_ind,slot_sequence,item_weight,total_item_weight,item_pod_inventory_level,item_warehouse_inventory_level
0,4,0,3,3420,0,0,0,72,72,99999,0,0,0,0.028,2.016,0.6,0.6
0,4,1,3,5041,0,0,0,24,24,99999,0,0,1,0.25,6.0,0.6,0.6
0,4,2,3,545,0,0,0,6,6,99999,0,0,2,0.376,2.256,0.5,0.5
0,4,3,3,213,0,0,0,24,24,99999,0,0,3,0.652,15.648,0.5,0.5
0,4,4,3,922,0,0,0,24,24,99999,0,0,4,0.129,3.096,0.5,0.5
0,4,5,3,112,0,0,0,48,48,99999,0,0,5,0.273,13.104,0.5,0.5
0,4,6,3,2989,0,0,0,24,24,99999,0,0,6,0.162,3.888,0.6,0.6
0,4,7,3,1742,0,0,0,24,24,99999,0,0,7,0.562,13.488,0.6,0.6
0,4,8,3,250,0,0,0,24,24,99999,0,0,8,0.732,17.568,0.5,0.5
0,4,9,3,4723,0,0,0,24,24,99999,0,0,9,0.628,15.072,0.6,0.6
0,4,10,3,653,0,0,0,12,12,99999,0,0,10,0.232,2.784,0.5,0.5
0,4,11,3,655,0,0,0,8,8,99999,0,0,11,0.468,3.744,0.5,0.5
0,4,12,3,3309,0,0,0,96,96,99999,0,0,12,0.023,2.208,0.6,0.6
0,4,13,3,2557,0,0,0,48,48,99999,0,0,13,0.049,2.352,0.6,0.6
0,4,14,3,66,0,0,0,30,30,99999,0,0,14,0.112,3.36,0.4,0.4
0,4,15,3,2638,0,0,0,12,12,99999,0,0,15,0.665,7.98,0.6,0.6
0,4,16,3,3941,0,0,0,10,10,99999,0,0,16,0.73,7.3,0.6,0.6
0,4,17,3,648,0,0,0,12,12,99999,0,0,17,0.225,2.7,0.5,0.5
0,4,18,3,4472,0,0,0,12,12,99999,0,0,18,1.375,16.5,0.6,0.6
0,4,19,3,4034,0,0,0,6,6,99999,0,0,19,0.867,5.202,0.6,0.6
0,4,20,3,3440,0,0,0,42,42,99999,0,0,20,0.267,11.214,0.6,0.6
0,4,21,3,4603,0,0,0,12,12,99999,0,0,21,0.432,5.184,0.6,0.6
0,4,22,3,1345,0,0,0,48,48,99999,0,0,22,0.369,17.712,0.6,0.6
0,4,23,3,2550,0,0,0,12,12,99999,0,0,23,0.278,3.336,0.6,0.6
0,4,24,3,4738,0,0,0,24,24,99999,0,0,24,0.477,11.448,0.6,0.6
0,4,25,3,4584,0,0,0,12,12,99999,0,0,25,0.745,8.94,0.6,0.6
0,4,26,3,4826,0,0,0,48,48,99999,0,0,26,0.242,11.616,0.6,0.6
0,4,27,3,2074,0,0,0,16,16,99999,0,0,27,0.661,10.576,0.6,0.6
0,4,28,3,1746,0,0,0,12,12,99999,0,0,28,1.138,13.656,0.6,0.6
0,4,29,3,4570,0,0,0,180,180,99999,0,0,29,0.069,12.42,0.6,0.6
0,4,30,3,207,0,0,0,24,24,99999,0,0,30,0.648,15.552,0.5,0.5
0,4,31,3,205,0,0,0,8,8,99999,0,0,31,2.132,17.056,0.5,0.5
0,4,32,3,2623,0,0,0,36,36,99999,0,0,32,0.361,12.996,0.6,0.6
0,4,33,3,4836,0,0,0,72,72,99999,0,0,33,0.352,25.344,0.6,0.6
0,4,34,3,3436,0,0,0,192,192,99999,0,0,34,0.026,4.992,0.6,0.6
0,4,35,3,916,0,0,0,40,40,99999,0,0,35,0.075,3.0,0.5,0.5
0,4,36,3,3051,0,0,0,24,24,99999,0,0,36,0.25,6.0,0.6,0.6
0,4,37,3,858,0,0,0,12,12,99999,0,0,37,0.208,2.496,0.5,0.5
0,4,38,3,59,0,0,0,24,24,99999,0,0,38,0.125,3.0,0.4,0.4
0,4,39,3,1465,0,0,0,6,6,99999,0,0,39,2.333,13.998,0.6,0.6
1,4,0,3,3054,0,0,0,84,84,99999,0,0,40,0.167,14.028,0.6,0.6
1,4,1,3,425,0,0,0,6,6,99999,0,0,41,1.842,11.052,0.5,0.5
1,4,2,3,214,0,0,0,12,12,99999,0,0,42,1.329,15.948,0.5,0.5
1,4,3,3,3002,0,0,0,36,36,99999,0,0,43,0.167,6.012,0.6,0.6
1,4,4,3,149,0,0,0,168,168,99999,0,0,44,0.142,23.856,0.5,0.5
1,4,5,3,2240,0,0,0,18,18,99999,0,0,45,0.667,12.006,0.6,0.6
1,4,6,3,1816,0,0,0,24,24,99999,0,0,46,0.642,15.408,0.6,0.6
1,4,7,3,904,0,0,0,12,12,99999,0,0,47,0.142,1.704,0.5,0.5
1,4,8,3,4057,0,0,0,30,30,99999,0,0,48,0.119,3.57,0.6,0.6
1,4,9,3,2808,0,0,0,12,12,99999,0,0,49,0.916,10.992,0.6,0.6
